sku,manufacturer_guess,category_guess,room_name,archetype,level,hit_count_in_file,source_txt
AN-520-RT,Araknis,Networking,520-Series Dual-WAN Rtr,Unknown,Level 1,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Louis Rinn 352 Red Bluffs P-85 TVsNetwork Q-140 V1.pdf__1e7cadb2b010.txt
AN-620-SW-R-8-POE,Araknis,Networking,620 L3 Managed Multi-Gig PoE++ Switch,Unknown,Level 1,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Louis Rinn 352 Red Bluffs P-85 TVsNetwork Q-140 V1.pdf__1e7cadb2b010.txt
EA-RSP-12D-100,Control4,Controller,Response DSP Amplifier,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Mike Uhrick 264 Arrowhead P-68 Whole Home Audio - Amp Upgrade  CO-2.pdf__410a0f8dd2fe.txt
CA-1,Control4,Controller,120/277V Configurable Keypad,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Neuwave-Order Form-Symphony Smart Homes.v1.pdf__18a54ec90794.txt
CA-1,Control4,Controller,120/277V Configurable Keypad,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Neuwave-Order Form-Symphony Smart Homes.v1.pdf__847b946ba3b1.txt
CA-1,Control4,Controller,120/277V Configurable Keypad,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Neuwave-Order Form-Symphony Smart Homes.wherle.pdf__af851558c541.txt
AN-820-AP-I,Araknis,Networking,ITEM QTY UNIT PRICE TOTAL,Unknown,Level 1,9,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Perry Residence 132 Creek Side Ln P-60 AV - Full AV Distribution Q-89 V5.pdf__2c908eeb037f.txt
TS-PDX-IC64,TS,Unknown,"Main Level > Mud Room $1,227.63",Laundry/Mud,Level 1,13,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Perry Residence 132 Creek Side Ln P-60 AV - Full AV Distribution Q-89 V5.pdf__2c908eeb037f.txt
TS-PDX-IC85,TS,Unknown,Sanus VDLT17-B1 1 $189.99 $189.99,Unknown,Level 1,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Perry Residence 132 Creek Side Ln P-60 AV - Full AV Distribution Q-89 V5.pdf__2c908eeb037f.txt
AN-520-AP-O,Araknis,Networking,Wi-Fi 6 520 Series Outdoor Wireless Access Point,Outdoor,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Perry Residence 132 Creek Side Ln P-60 AV - Full AV Distribution Q-89 V5.pdf__2c908eeb037f.txt
AN-620-SW-R-24-POE,Araknis,Networking,620 L3 Managed Multi-Gig PoE++ Switch,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Perry Residence 132 Creek Side Ln P-60 AV - Full AV Distribution Q-89 V5.pdf__2c908eeb037f.txt
AN-920-SW-F-24-POE,Araknis,Networking,920 L3 Managed 10G PoE++ Switch,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Perry Residence 132 Creek Side Ln P-60 AV - Full AV Distribution Q-89 V5.pdf__2c908eeb037f.txt
EA-AMP-HYB-2D-1000,Control4,Controller,70V/8-ohm IP-Enabled Amplifier,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Perry Residence 132 Creek Side Ln P-60 AV - Full AV Distribution Q-89 V5.pdf__2c908eeb037f.txt
TS-AMS16,TS,Audio Matrix,AMS Audio Matrix Switch,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Perry Residence 132 Creek Side Ln P-60 AV - Full AV Distribution Q-89 V5.pdf__2c908eeb037f.txt
TS-AMS8-V2,TS,Audio Matrix,AMS Audio Matrix Switch,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Perry Residence 132 Creek Side Ln P-60 AV - Full AV Distribution Q-89 V5.pdf__2c908eeb037f.txt
TS-PAMP8-125-V2,TS,Amplifier,TS Triad Power Amplifier,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Perry Residence 132 Creek Side Ln P-60 AV - Full AV Distribution Q-89 V5.pdf__2c908eeb037f.txt
AN-820-AP-I,Araknis,Networking,ITEM QTY UNIT PRICE TOTAL,Unknown,Level 1,9,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Perry Residence 132 Creek Side Ln P-60 AV Common Area Distribution Q-92 V6.pdf__30ec6569b30d.txt
TS-PDX-IC64,TS,Unknown,"Main Level > Mud Room $1,227.63",Laundry/Mud,Level 1,8,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Perry Residence 132 Creek Side Ln P-60 AV Common Area Distribution Q-92 V6.pdf__30ec6569b30d.txt
TS-PDX-IC85,TS,Unknown,Sanus VDLT17-B1 1 $189.99 $189.99,Unknown,Level 1,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Perry Residence 132 Creek Side Ln P-60 AV Common Area Distribution Q-92 V6.pdf__30ec6569b30d.txt
AN-520-AP-O,Araknis,Networking,Wi-Fi 6 520 Series Outdoor Wireless Access Point,Outdoor,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Perry Residence 132 Creek Side Ln P-60 AV Common Area Distribution Q-92 V6.pdf__30ec6569b30d.txt
AN-620-SW-R-24-POE,Araknis,Networking,620 L3 Managed Multi-Gig PoE++ Switch,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Perry Residence 132 Creek Side Ln P-60 AV Common Area Distribution Q-92 V6.pdf__30ec6569b30d.txt
AN-920-SW-F-24-POE,Araknis,Networking,920 L3 Managed 10G PoE++ Switch,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Perry Residence 132 Creek Side Ln P-60 AV Common Area Distribution Q-92 V6.pdf__30ec6569b30d.txt
EA-AMP-HYB-2D-1000,Control4,Controller,70V/8-ohm IP-Enabled Amplifier,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Perry Residence 132 Creek Side Ln P-60 AV Common Area Distribution Q-92 V6.pdf__30ec6569b30d.txt
TS-AMS16,TS,Audio Matrix,AMS Audio Matrix Switch,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Perry Residence 132 Creek Side Ln P-60 AV Common Area Distribution Q-92 V6.pdf__30ec6569b30d.txt
TS-PAMP8-125-V2,TS,Amplifier,TS Triad Power Amplifier,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Perry Residence 132 Creek Side Ln P-60 AV Common Area Distribution Q-92 V6.pdf__30ec6569b30d.txt
AN-820-AP-I,Araknis,Networking,ITEM QTY UNIT PRICE TOTAL,Unknown,Level 1,9,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Perry Residence 132 Creek Side Ln P-60 Audio FullVideo Common Area Distribution Q-87 V3.pdf__5a657f55044e.txt
TS-PDX-IC64,TS,Unknown,"Main Level > Mud Room $1,227.63",Laundry/Mud,Level 1,13,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Perry Residence 132 Creek Side Ln P-60 Audio FullVideo Common Area Distribution Q-87 V3.pdf__5a657f55044e.txt
TS-PDX-IC85,TS,Unknown,Sanus VDLT17-B1 1 $189.99 $189.99,Unknown,Level 1,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Perry Residence 132 Creek Side Ln P-60 Audio FullVideo Common Area Distribution Q-87 V3.pdf__5a657f55044e.txt
AN-520-AP-O,Araknis,Networking,Wi-Fi 6 520 Series Outdoor Wireless Access Point,Outdoor,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Perry Residence 132 Creek Side Ln P-60 Audio FullVideo Common Area Distribution Q-87 V3.pdf__5a657f55044e.txt
AN-620-SW-R-24-POE,Araknis,Networking,620 L3 Managed Multi-Gig PoE++ Switch,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Perry Residence 132 Creek Side Ln P-60 Audio FullVideo Common Area Distribution Q-87 V3.pdf__5a657f55044e.txt
AN-920-SW-F-24-POE,Araknis,Networking,920 L3 Managed 10G PoE++ Switch,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Perry Residence 132 Creek Side Ln P-60 Audio FullVideo Common Area Distribution Q-87 V3.pdf__5a657f55044e.txt
EA-AMP-HYB-2D-1000,Control4,Controller,70V/8-ohm IP-Enabled Amplifier,Unknown,,1,/Users/bob/AI-Server/knowledge/Extracted_Knowledge/Perry Residence 132 Creek Side Ln P-60 Audio FullVideo Common Area Distribution Q-87 V3.pdf__5a657f55044e.txt
